YEARS,Tourists_Number,Overnight_Stay,Tourists_Spending,Avg_Stay,Avg_Spending_Trip,Avg_Spending_Night,Province,Tourism_Type
2015-01-01,6,59,43,10,7029,727,Albaha,Inbound
2015-01-01,0,0,0,0,0,0,Albaha,Inbound
2015-01-01,1041,8807,1120,8,1075,127,Albaha,Domestic
2015-01-01,947,7909,1016,8,1073,128,Albaha,Domestic
2015-01-01,33,269,39,8,1210,146,Albaha,Domestic
2015-01-01,62,629,65,10,1037,103,Albaha,Domestic
2016-01-01,1,2,0,3,720,240,Albaha,Inbound
2016-01-01,0,0,0,0,0,0,Albaha,Inbound
2016-01-01,1223,9707,1350,8,1104,139,Albaha,Domestic
2016-01-01,1148,9125,1269,8,1105,139,Albaha,Domestic
2016-01-01,27,276,35,10,1312,127,Albaha,Domestic
2016-01-01,49,307,47,6,950,152,Albaha,Domestic
2017-01-01,0,0,0,0,0,0,Albaha,Inbound
2017-01-01,1106,7126,1028,6,929,144,Albaha,Domestic
2017-01-01,1035,6729,968,6,935,144,Albaha,Domestic
2017-01-01,33,122,21,4,646,175,Albaha,Domestic
2017-01-01,38,275,39,7,1029,141,Albaha,Domestic
2018-01-01,4,71,47,17,11481,664,Albaha,Inbound
2018-01-01,0,0,0,0,0,0,Albaha,Inbound
2018-01-01,1235,8864,1380,7,1118,156,Albaha,Domestic
2018-01-01,1073,7683,1180,7,1100,154,Albaha,Domestic
2018-01-01,57,329,49,6,860,148,Albaha,Domestic
2018-01-01,105,852,151,8,1438,178,Albaha,Domestic
2019-01-01,3,26,15,10,5732,572,Albaha,Inbound
2019-01-01,0,0,0,0,0,0,Albaha,Inbound
2019-01-01,1462,11016,1666,8,1140,151,Albaha,Domestic
2019-01-01,1231,8812,1364,7,1109,155,Albaha,Domestic
2019-01-01,114,892,123,8,1076,138,Albaha,Domestic
2019-01-01,117,1311,179,11,1530,136,Albaha,Domestic
2020-01-01,2,12,8,7,4906,698,Albaha,Inbound
2020-01-01,1,11,8,8,6014,774,Albaha,Inbound
2020-01-01,0,0,0,0,0,0,Albaha,Inbound
2020-01-01,0,1,0,4,399,100,Albaha,Inbound
2020-01-01,1532,11590,1545,8,1009,133,Albaha,Domestic
2020-01-01,1245,8760,1259,7,1011,144,Albaha,Domestic
2020-01-01,131,1179,144,9,1099,122,Albaha,Domestic
2020-01-01,156,1651,143,11,915,86,Albaha,Domestic
2021-01-01,1,5,3,8,4416,576,Albaha,Inbound
2021-01-01,1,5,3,8,4747,595,Albaha,Inbound
2021-01-01,0,0,0,0,0,0,Albaha,Inbound
2021-01-01,0,0,0,4,425,106,Albaha,Inbound
2021-01-01,1100,8743,1411,8,1283,161,Albaha,Domestic
2021-01-01,532,3371,586,6,1102,174,Albaha,Domestic
2021-01-01,276,2354,402,8,1455,171,Albaha,Domestic
2021-01-01,293,3018,424,10,1448,140,Albaha,Domestic
2022-01-01,4,41,9,10,2133,216,Albaha,Inbound
2022-01-01,0,0,0,0,0,0,Albaha,Inbound
2022-01-01,1021,6623,1000,6,980,151,Albaha,Domestic
2022-01-01,784,4622,749,6,955,162,Albaha,Domestic
2022-01-01,100,744,107,7,1066,144,Albaha,Domestic
2022-01-01,137,1256,144,9,1057,115,Albaha,Domestic
2023-01-01,16,110,43,7,2664,393,Albaha,Inbound
2023-01-01,0,0,0,0,0,0,Albaha,Inbound
2023-01-01,1071,7633,1237,7,1155,162,Albaha,Domestic
2023-01-01,785,5907,1003,8,1278,170,Albaha,Domestic
2023-01-01,122,629,101,5,828,160,Albaha,Domestic
2023-01-01,165,1097,134,7,813,122,Albaha,Domestic
2024-01-01,8,54,22,7,2734,410,Albaha,Inbound
2024-01-01,0,0,0,0,0,0,Albaha,Inbound
2024-01-01,1127,10346,1123,9,997,109,Albaha,Domestic
2024-01-01,791,7108,844,9,1067,119,Albaha,Domestic
2024-01-01,107,971,105,9,982,108,Albaha,Domestic
2024-01-01,229,2266,174,10,762,77,Albaha,Domestic
2015-01-01,42,178,144,4,3427,807,Alqassim,Inbound
2015-01-01,16,79,63,5,4022,794,Alqassim,Inbound
2015-01-01,16,62,57,4,3537,907,Alqassim,Inbound
2015-01-01,3,13,9,4,2970,693,Alqassim,Inbound
2015-01-01,7,24,15,3,2104,646,Alqassim,Inbound
2015-01-01,947,3697,832,4,879,225,Alqassim,Domestic
2015-01-01,814,3170,745,4,915,235,Alqassim,Domestic
2015-01-01,58,210,49,4,844,233,Alqassim,Domestic
2015-01-01,35,148,20,4,582,137,Alqassim,Domestic
2015-01-01,40,169,18,4,453,107,Alqassim,Domestic
2016-01-01,34,114,89,3,2642,778,Alqassim,Inbound
2016-01-01,19,63,48,3,2531,763,Alqassim,Inbound
2016-01-01,14,49,39,4,2811,793,Alqassim,Inbound
2016-01-01,0,18848,1765,2,2092,1046,Alqassim,Inbound
2016-01-01,1,2,2,3,2429,866,Alqassim,Inbound
2016-01-01,734,3377,757,5,1032,224,Alqassim,Domestic
2016-01-01,563,2584,622,5,1105,241,Alqassim,Domestic
2016-01-01,96,486,82,5,856,169,Alqassim,Domestic
2016-01-01,40,143,28,4,684,192,Alqassim,Domestic
2016-01-01,34,164,25,5,724,152,Alqassim,Domestic
2017-01-01,68,215,179,3,2621,830,Alqassim,Inbound
2017-01-01,21,70,64,3,3113,914,Alqassim,Inbound
2017-01-01,39,120,95,3,2410,792,Alqassim,Inbound
2017-01-01,1,3,3,3,2453,820,Alqassim,Inbound
2017-01-01,7,22,17,3,2378,771,Alqassim,Inbound
2017-01-01,908,3967,763,4,840,192,Alqassim,Domestic
2017-01-01,648,2692,565,4,872,210,Alqassim,Domestic
2017-01-01,148,655,129,4,867,197,Alqassim,Domestic
2017-01-01,49,380,31,8,634,82,Alqassim,Domestic
2017-01-01,63,240,38,4,609,160,Alqassim,Domestic
2018-01-01,75,244,190,3,2524,777,Alqassim,Inbound
2018-01-01,22,76,58,4,2660,767,Alqassim,Inbound
2018-01-01,41,128,100,3,2470,782,Alqassim,Inbound
2018-01-01,2,6,5,3,2625,852,Alqassim,Inbound
2018-01-01,11,34,26,3,2438,771,Alqassim,Inbound
2018-01-01,1072,6246,1299,6,1212,208,Alqassim,Domestic
2018-01-01,745,4509,935,6,1254,207,Alqassim,Domestic
2018-01-01,154,736,175,5,1139,238,Alqassim,Domestic
2018-01-01,57,397,49,7,858,124,Alqassim,Domestic
2018-01-01,116,603,140,5,1210,232,Alqassim,Domestic
2019-01-01,110,437,406,4,3690,929,Alqassim,Inbound
2019-01-01,29,95,85,3,2919,888,Alqassim,Inbound
2019-01-01,49,149,110,3,2253,741,Alqassim,Inbound
2019-01-01,16,144,175,9,10973,1211,Alqassim,Inbound
2019-01-01,16,49,37,3,2262,751,Alqassim,Inbound
2019-01-01,1445,9020,1871,6,1295,207,Alqassim,Domestic
2019-01-01,859,5211,1235,6,1437,237,Alqassim,Domestic
2019-01-01,313,1964,341,6,1089,174,Alqassim,Domestic
2019-01-01,106,744,97,7,917,131,Alqassim,Domestic
2019-01-01,166,1101,197,7,1189,179,Alqassim,Domestic
2020-01-01,39,250,122,6,3167,488,Alqassim,Inbound
2020-01-01,25,209,88,8,3580,422,Alqassim,Inbound
2020-01-01,8,25,20,3,2401,812,Alqassim,Inbound
2020-01-01,0,1,1,3,3038,1017,Alqassim,Inbound
2020-01-01,5,14,12,3,2423,843,Alqassim,Inbound
2020-01-01,2038,11335,1818,6,892,160,Alqassim,Domestic
2020-01-01,935,4842,954,5,1020,197,Alqassim,Domestic
2020-01-01,527,2914,446,6,847,153,Alqassim,Domestic
2020-01-01,181,1119,128,6,705,114,Alqassim,Domestic
2020-01-01,394,2460,289,6,734,118,Alqassim,Domestic
2021-01-01,56,405,239,7,4253,589,Alqassim,Inbound
2021-01-01,46,371,216,8,4664,582,Alqassim,Inbound
2021-01-01,7,23,16,4,2380,678,Alqassim,Inbound
2021-01-01,1,4,3,3,2067,680,Alqassim,Inbound
2021-01-01,2,6,4,4,2319,623,Alqassim,Inbound
2021-01-01,3768,22722,3877,6,1029,171,Alqassim,Domestic
2021-01-01,1547,8122,1677,5,1084,206,Alqassim,Domestic
2021-01-01,420,2448,351,6,835,143,Alqassim,Domestic
2021-01-01,431,2973,418,7,969,140,Alqassim,Domestic
2021-01-01,1370,9180,1432,7,1045,156,Alqassim,Domestic
2022-01-01,202,1899,636,9,3153,335,Alqassim,Inbound
2022-01-01,101,806,279,8,2752,346,Alqassim,Inbound
2022-01-01,80,678,270,8,3376,398,Alqassim,Inbound
2022-01-01,15,366,73,24,4838,199,Alqassim,Inbound
2022-01-01,5,50,15,9,2671,292,Alqassim,Inbound
2022-01-01,4054,19498,4479,5,1105,230,Alqassim,Domestic
2022-01-01,2323,11155,2745,5,1182,246,Alqassim,Domestic
2022-01-01,491,2180,503,4,1024,231,Alqassim,Domestic
2022-01-01,382,1735,375,4,982,216,Alqassim,Domestic
2022-01-01,858,4428,856,5,998,193,Alqassim,Domestic
2023-01-01,126,814,288,6,2284,354,Alqassim,Inbound
2023-01-01,86,589,191,7,2228,324,Alqassim,Inbound
2023-01-01,35,204,90,6,2583,442,Alqassim,Inbound
2023-01-01,4,13,5,4,1277,368,Alqassim,Inbound
2023-01-01,2,8,2,4,1242,298,Alqassim,Inbound
